"receivedTime","magnitude"
"2016-04-09 14:25:56",622
"2016-04-09 14:25:56",620
"2016-04-09 14:25:56",622
"2016-04-09 14:25:56",625
"2016-04-09 14:25:56",632
"2016-04-09 14:25:57",637
"2016-04-09 14:25:57",638
"2016-04-09 14:25:57",644
"2016-04-09 14:25:57",648
"2016-04-09 14:25:57",649
"2016-04-09 14:25:57",655
"2016-04-09 14:25:57",659
"2016-04-09 14:25:57",659
"2016-04-09 14:25:57",659
"2016-04-09 14:25:57",655
"2016-04-09 14:25:57",649
"2016-04-09 14:25:57",649
"2016-04-09 14:25:57",646
"2016-04-09 14:25:57",637
"2016-04-09 14:25:57",630
"2016-04-09 14:25:57",626
"2016-04-09 14:25:57",629
"2016-04-09 14:25:57",639
"2016-04-09 14:25:57",644
"2016-04-09 14:25:57",648
"2016-04-09 14:25:57",658
"2016-04-09 14:25:57",666
"2016-04-09 14:25:57",675
"2016-04-09 14:25:57",686
"2016-04-09 14:25:57",678
"2016-04-09 14:25:57",677
"2016-04-09 14:25:57",670
"2016-04-09 14:25:57",663
"2016-04-09 14:25:57",658
"2016-04-09 14:25:57",654
"2016-04-09 14:25:57",645
"2016-04-09 14:25:57",639
"2016-04-09 14:25:57",644
"2016-04-09 14:25:57",648
"2016-04-09 14:25:57",639
"2016-04-09 14:25:57",636
"2016-04-09 14:25:57",646
"2016-04-09 14:25:57",648
"2016-04-09 14:25:57",639
"2016-04-09 14:25:57",629
"2016-04-09 14:25:57",626
"2016-04-09 14:25:57",624
"2016-04-09 14:25:57",616
"2016-04-09 14:25:57",614
"2016-04-09 14:25:57",629
"2016-04-09 14:25:57",645
"2016-04-09 14:25:57",649
"2016-04-09 14:25:57",655
"2016-04-09 14:25:57",671
"2016-04-09 14:25:57",689
"2016-04-09 14:25:57",699
"2016-04-09 14:25:57",698
"2016-04-09 14:25:57",691
"2016-04-09 14:25:57",692
"2016-04-09 14:25:57",690
"2016-04-09 14:25:57",676
"2016-04-09 14:25:57",665
"2016-04-09 14:25:57",662
"2016-04-09 14:25:57",654
"2016-04-09 14:25:57",644
"2016-04-09 14:25:57",638
"2016-04-09 14:25:57",636
"2016-04-09 14:25:57",639
"2016-04-09 14:25:57",635
"2016-04-09 14:25:57",629
"2016-04-09 14:25:57",637
"2016-04-09 14:25:57",651
"2016-04-09 14:25:57",659
"2016-04-09 14:25:57",665
"2016-04-09 14:25:57",666
"2016-04-09 14:25:57",671
"2016-04-09 14:25:57",680
"2016-04-09 14:25:57",682
"2016-04-09 14:25:57",682
"2016-04-09 14:25:57",631
"2016-04-09 14:25:57",631
"2016-04-09 14:25:57",639
"2016-04-09 14:25:57",640
"2016-04-09 14:25:57",638
"2016-04-09 14:25:57",639
"2016-04-09 14:25:57",649
"2016-04-09 14:25:57",662
"2016-04-09 14:25:57",666
"2016-04-09 14:25:57",668
"2016-04-09 14:25:57",678
"2016-04-09 14:25:57",689
"2016-04-09 14:25:57",693
"2016-04-09 14:25:57",696
"2016-04-09 14:25:57",697
"2016-04-09 14:25:57",690
"2016-04-09 14:25:57",680
"2016-04-09 14:25:57",670
"2016-04-09 14:25:57",661
"2016-04-09 14:25:57",653
"2016-04-09 14:25:57",645
"2016-04-09 14:25:57",635
"2016-04-09 14:25:57",628
"2016-04-09 14:25:57",626
"2016-04-09 14:25:57",623
"2016-04-09 14:25:57",625
"2016-04-09 14:25:57",635
"2016-04-09 14:25:57",639
"2016-04-09 14:25:57",642
"2016-04-09 14:25:57",644
"2016-04-09 14:25:57",647
"2016-04-09 14:25:58",651
"2016-04-09 14:25:58",652
"2016-04-09 14:25:58",648
"2016-04-09 14:25:58",648
"2016-04-09 14:25:58",651
"2016-04-09 14:25:58",652
"2016-04-09 14:25:58",657
"2016-04-09 14:25:58",662
"2016-04-09 14:25:58",662
"2016-04-09 14:25:58",657
"2016-04-09 14:25:58",654
"2016-04-09 14:25:58",653
"2016-04-09 14:25:58",652
"2016-04-09 14:25:58",656
"2016-04-09 14:25:58",656
"2016-04-09 14:25:58",645
"2016-04-09 14:25:58",642
