,id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,accelerationAvg,accelerationDev,classifier
239,13864,32.39,0.73,0,3552,2016-04-09 15:48:00,638.0357142857,17.2616050877,2
240,13865,32.36,0.76,0,3552,2016-04-09 15:48:00,648.3448275862,24.0104515491,2
241,13866,32.41,0.72,0,3552,2016-04-09 15:48:01,657.1363636364,22.0542625328,2
242,13867,32.41,0.73,0,3552,2016-04-09 15:48:01,659.9090909091,11.927466739,2
243,13868,32.41,0.72,0,3552,2016-04-09 15:48:01,648.8181818182,20.6477741782,2
244,13869,32.41,0.73,0,3552,2016-04-09 15:48:01,659.5,17.0580559481,2
245,13870,32.41,0.71,0,3552,2016-04-09 15:48:01,656.3181818182,27.0477462742,2
246,13871,32.45,0.71,0,3573,2016-04-09 15:48:01,653.5454545455,16.4944268073,2
247,13872,32.47,0.7,0,3573,2016-04-09 15:48:01,650.3157894737,12.3205119151,2
248,13873,32.47,0.69,0,3573,2016-04-09 15:48:02,656.7916666667,27.7923538146,2
249,13874,32.45,0.74,0,3573,2016-04-09 15:48:02,647.5833333333,26.5312970324,2
250,13875,32.45,0.72,0,3573,2016-04-09 15:48:02,634.2083333333,33.905480342,2
251,13876,32.45,0.76,0,3573,2016-04-09 15:48:02,658.5,30.904422553,2
252,13877,32.45,0.71,0,3558,2016-04-09 15:48:02,653.2916666667,20.9691820828,2
253,13878,32.45,0.72,0,3558,2016-04-09 15:48:02,653.7142857143,19.3541993896,2
254,13879,32.45,0.79,0,3558,2016-04-09 15:48:03,617.1428571429,24.5818084388,2
255,13880,32.45,0.72,0,3558,2016-04-09 15:48:03,664.0714285714,21.2685693176,2
256,13881,32.45,0.71,0,3558,2016-04-09 15:48:03,654.3571428571,14.6365840221,2
257,13882,32.45,0.71,0,3558,2016-04-09 15:48:03,663.9285714286,16.1398543351,2
258,13883,32.45,0.72,0,3558,2016-04-09 15:48:03,630.8571428571,17.7999082777,2
