"id";"temperatureVal";"currentVal";"vibrationVal";"rpmVal";"receivedTime"
13998;32.71;0.02;0.0;0;"2016-04-09 15:52:14"
13999;32.71;0.02;0.0;0;"2016-04-09 15:52:14"
14000;32.71;0.02;0.0;0;"2016-04-09 15:52:14"
14001;32.71;0.02;0.0;0;"2016-04-09 15:52:15"
14002;32.71;0.02;0.0;0;"2016-04-09 15:52:15"
14003;32.71;0.02;0.0;0;"2016-04-09 15:52:15"
14004;32.75;0.02;0.0;0;"2016-04-09 15:52:15"
14005;32.69;0.99;0.0;0;"2016-04-09 15:52:15"
14006;32.69;0.85;0.0;0;"2016-04-09 15:52:15"
14007;32.71;0.9;0.0;0;"2016-04-09 15:52:16"
14008;32.75;1.0;0.0;0;"2016-04-09 15:52:16"
14009;32.71;1.31;0.0;30;"2016-04-09 15:52:16"
14010;32.71;1.42;0.0;30;"2016-04-09 15:52:16"
14011;32.71;1.25;0.0;30;"2016-04-09 15:52:16"
14012;32.75;1.06;0.0;30;"2016-04-09 15:52:17"
14013;32.77;0.94;0.0;1041;"2016-04-09 15:52:18"
14014;32.77;0.88;0.0;1041;"2016-04-09 15:52:18"
14015;32.75;0.9;0.0;1041;"2016-04-09 15:52:18"
14016;32.75;0.92;0.0;1041;"2016-04-09 15:52:18"
14017;32.75;0.9;0.0;1821;"2016-04-09 15:52:19"
14018;32.75;0.92;0.0;1821;"2016-04-09 15:52:19"
14019;32.75;0.88;0.0;1821;"2016-04-09 15:52:19"
14020;32.75;0.91;0.0;1821;"2016-04-09 15:52:20"
14021;32.75;0.84;0.0;1821;"2016-04-09 15:52:20"
14022;32.71;0.86;0.0;2622;"2016-04-09 15:52:20"
14023;32.75;0.86;0.0;2622;"2016-04-09 15:52:20"
14024;32.72;0.87;0.0;2622;"2016-04-09 15:52:20"
14025;32.77;0.85;0.0;2622;"2016-04-09 15:52:20"
14026;32.77;0.84;0.0;3417;"2016-04-09 15:52:21"
14027;32.77;0.86;0.0;3417;"2016-04-09 15:52:22"
14028;32.77;0.87;0.0;3963;"2016-04-09 15:52:22"
14029;32.77;0.85;0.0;3963;"2016-04-09 15:52:22"
14030;32.77;0.82;0.0;4182;"2016-04-09 15:52:24"
14031;32.77;0.83;0.0;4182;"2016-04-09 15:52:24"
14032;32.77;0.9;0.0;4182;"2016-04-09 15:52:24"
14033;32.77;0.83;0.0;4182;"2016-04-09 15:52:24"
14034;32.8;0.88;0.0;4161;"2016-04-09 15:52:26"
14035;32.81;0.84;0.0;4074;"2016-04-09 15:52:27"
14036;32.81;0.85;0.0;4074;"2016-04-09 15:52:27"
14037;32.83;0.85;0.0;4032;"2016-04-09 15:52:29"
14038;32.83;0.83;0.0;4032;"2016-04-09 15:52:29"
14039;32.83;0.85;0.0;4032;"2016-04-09 15:52:29"
14040;32.83;0.86;0.0;4032;"2016-04-09 15:52:29"
14041;32.83;0.86;0.0;4032;"2016-04-09 15:52:30"
14042;32.83;0.81;0.0;4026;"2016-04-09 15:52:30"
14043;32.85;0.83;0.0;4026;"2016-04-09 15:52:30"
14044;32.84;0.82;0.0;4026;"2016-04-09 15:52:30"
14045;32.85;0.82;0.0;4026;"2016-04-09 15:52:30"
