"receivedTime";"magnitude1";"magnitude2"
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";532;621
"2016-04-12 13:18:05";532;621
"2016-04-12 13:18:05";532;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";532;621
"2016-04-12 13:18:05";532;620
"2016-04-12 13:18:05";532;620
"2016-04-12 13:18:05";532;620
"2016-04-12 13:18:05";532;620
"2016-04-12 13:18:05";532;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;620
"2016-04-12 13:18:05";533;619
"2016-04-12 13:18:05";533;619
"2016-04-12 13:18:05";533;619
"2016-04-12 13:18:05";533;619
"2016-04-12 13:18:05";533;619
"2016-04-12 13:18:05";533;619
"2016-04-12 13:18:05";533;619
"2016-04-12 13:18:05";533;619
"2016-04-12 13:18:05";533;618
"2016-04-12 13:18:05";533;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";532;618
"2016-04-12 13:18:05";531;620
"2016-04-12 13:18:05";531;620
"2016-04-12 13:18:05";531;620
"2016-04-12 13:18:05";531;620
"2016-04-12 13:18:05";531;620
"2016-04-12 13:18:05";531;620
"2016-04-12 13:18:05";531;620
"2016-04-12 13:18:05";531;620
