,vibration
2073,685
2074,669
2075,656
2076,649
2077,642
2078,637
2079,636
2080,634
2081,631
2082,633
2083,639
2084,645
2085,653
2086,656
2087,657
2088,662
2089,673
2090,682
2091,689
2092,698
2093,702
2094,695
2095,688
2096,687
2097,688
2098,689
2099,690
2100,686
2101,682
2102,681
2103,675
2104,665
2105,662
2106,663
2107,661
2108,660
2109,663
2110,666
2111,671
2112,679
2113,684
2114,684
2115,683
2116,683
2117,681
2118,685
2119,680
2120,673
2121,671
2122,674
2123,676
2124,678
2125,684
2126,690
2127,690
2128,685
2129,677
2130,669
2131,660
2132,651
2133,640
2134,632
2135,630
2136,631
2137,631
2138,635
2139,647
2140,659
2141,665
2142,667
2143,670
2144,675
2145,680
2146,682
2147,686
2148,697
2149,700
2150,693
2151,692
2152,696
2153,691
2154,687
2155,688
2156,685
2157,676
2158,674
2159,678
2160,679
2161,677
2162,675
2163,671
2164,669
2165,670
2166,674
2167,680
2168,669
2169,669
2170,667
2171,669
2172,672
2173,672
2174,669
2175,670
2176,671
2177,670
2178,662
2179,648
2180,641
2181,641
2182,636
2183,626
2184,628
2185,639
2186,647
2187,653
2188,660
2189,671
2190,680
2191,682
2192,676
2193,675
2194,680
2195,686
2196,687
2197,689
2198,696
2199,703
2200,701
2201,690
2202,683
2203,681
2204,676
2205,665
2206,659
2207,659
2208,658
2209,662
2210,670
2211,677
2212,681
2213,686
2214,688
2215,686
2216,683
2217,680
2218,665
2219,666
2220,673
2221,680
2222,684
2223,687
2224,689
2225,685
2226,682
2227,681
2228,678
2229,670
2230,665
2231,660
2232,655
2233,650
2234,646
2235,641
2236,633
2237,622
2238,618
2239,626
2240,637
2241,643
2242,652
2243,667
2244,680
2245,685
2246,689
2247,696
2248,700
2249,696
2250,687
2251,680
2252,676
2253,674
2254,675
2255,675
2256,677
2257,680
2258,680
2259,674
2260,668
2261,670
2262,679
2263,682
2264,681
2265,681
2266,678
2267,672
2268,698
2269,696
2270,693
2271,679
2272,667
2273,655
2274,645
2275,638
2276,637
2277,636
2278,636
2279,640
2280,645
2281,645
2282,647
2283,657
2284,669
2285,673
2286,678
2287,685
2288,689
2289,689
2290,686
2291,680
2292,673
2293,670
2294,665
2295,660
2296,662
2297,668
2298,669
2299,668
2300,670
2301,673
2302,673
2303,671
2304,672
2305,672
2306,672
2307,674
2308,677
2309,677
2310,678
2311,684
2312,691
2313,691
2314,687
2315,686
2316,683
2317,675
2318,671
2319,668
2320,672
2321,672
2322,669
2323,671
2324,676
2325,676
2326,679
2327,686
2328,687
2329,683
2330,679
2331,675
2332,670
2333,667
2334,659
2335,649
2336,643
2337,631
2338,616
2339,615
2340,622
2341,624
2342,630
2343,643
2344,651
2345,654
2346,664
2347,679
2348,688
2349,694
2350,699
2351,695
2352,687
2353,682
2354,680
2355,677
2356,677
2357,680
2358,677
2359,673
2360,674
2361,676
2362,673
2363,671
2364,673
2365,671
2366,664
2367,660
2368,673
2369,676
2370,680
2371,678
2372,675
2373,670
2374,656
2375,644
2376,642
2377,641
2378,638
2379,638
2380,636
2381,631
2382,628
2383,628
2384,629
2385,637
2386,647
2387,657
2388,670
2389,686
2390,697
2391,703
2392,710
2393,708
2394,698
2395,688
2396,677
2397,668
2398,663
2399,662
2400,665
2401,673
2402,679
2403,677
2404,677
2405,680
2406,680
2407,678
2408,680
2409,681
2410,675
2411,674
2412,675
2413,671
2414,671
2415,674
2416,671
2417,665
2418,700
2419,694
2420,690
2421,689
2422,687
2423,682
2424,677
2425,675
2426,674
2427,673
2428,673
2429,679
2430,687
2431,688
2432,687
2433,689
2434,688
2435,682
2436,679
2437,679
2438,676
2439,665
2440,654
2441,649
2442,647
2443,645
2444,646
2445,646
2446,645
2447,644
2448,645
2449,650
2450,660
2451,670
2452,677
2453,687
2454,694
2455,697
2456,698
2457,700
2458,700
2459,696
2460,694
2461,693
2462,694
2463,697
2464,698
2465,690
2466,682
2467,681
2468,670
2469,672
2470,671
2471,668
2472,667
2473,667
2474,668
2475,671
2476,676
2477,681
2478,685
2479,687
2480,685
2481,676
2482,670
2483,672
2484,675
2485,672
2486,666
2487,664
2488,669
2489,673
2490,671
2491,670
2492,676
2493,680
2494,672
2495,667
2496,676
2497,685
2498,685
2499,683
2500,685
2501,683
2502,672
2503,659
2504,651
2505,646
2506,639
2507,627
2508,619
2509,621
2510,628
2511,634
2512,645
2513,666
2514,686
2515,691
2516,689
2517,692
2518,664
2519,660
2520,665
2521,668
2522,667
2523,671
2524,680
2525,684
2526,686
2527,689
2528,692
2529,695
2530,694
2531,688
2532,683
2533,683
2534,680
2535,677
2536,685
2537,699
2538,702
2539,698
2540,702
2541,709
2542,704
2543,696
2544,693
2545,693
2546,687
2547,680
2548,681
2549,691
2550,700
2551,701
2552,702
2553,706
2554,703
2555,692
2556,684
2557,676
2558,668
2559,661
2560,654
