,vibration
1590,700
1591,705
1592,706
1593,705
1594,699
1595,694
1596,694
1597,688
1598,674
1599,665
1600,663
1601,658
1602,652
1603,647
1604,640
1605,632
1606,637
1607,648
1608,651
1609,685
1610,668
1611,660
1612,664
1613,665
1614,659
1615,652
1616,650
1617,657
1618,677
1619,693
1620,690
1621,682
1622,682
1623,686
1624,690
1625,686
1626,673
1627,667
1628,671
1629,673
1630,673
1631,672
1632,673
1633,682
1634,693
1635,698
1636,696
1637,694
1638,694
1639,692
1640,686
1641,681
1642,677
1643,668
1644,655
1645,638
1646,623
1647,615
1648,612
1649,613
1650,618
1651,625
1652,638
1653,658
1654,677
1655,689
1656,693
1657,695
1658,702
1659,671
1660,674
1661,688
1662,699
1663,696
1664,682
1665,677
1666,689
1667,700
1668,691
1669,676
1670,677
1671,687
1672,690
1673,686
1674,680
1675,677
1676,683
1677,692
1678,698
1679,698
1680,694
1681,692
1682,690
1683,683
1684,675
1685,672
1686,672
1687,676
1688,677
1689,681
1690,693
1691,704
1692,704
1693,701
1694,695
1695,686
1696,682
1697,680
1698,669
1699,655
1700,653
1701,664
1702,670
1703,656
1704,640
1705,639
1706,651
1707,661
1708,665
1709,697
1710,689
1711,666
1712,650
1713,658
1714,675
1715,675
1716,661
1717,657
1718,669
1719,681
1720,680
1721,667
1722,657
1723,662
1724,670
1725,663
1726,648
1727,641
1728,646
1729,662
1730,671
1731,667
1732,667
1733,682
1734,698
1735,701
1736,693
1737,690
1738,697
1739,704
1740,701
1741,687
1742,675
1743,679
1744,685
1745,684
1746,681
1747,682
1748,691
1749,706
1750,715
1751,708
1752,697
1753,692
1754,691
1755,678
1756,652
1757,633
1758,631
1759,671
1760,674
1761,682
1762,677
1763,661
1764,653
1765,656
1766,661
1767,662
1768,658
1769,658
1770,668
1771,683
1772,687
1773,679
1774,676
1775,692
1776,710
1777,714
1778,708
1779,703
1780,705
1781,711
1782,708
1783,695
1784,688
1785,698
1786,711
1787,712
1788,710
1789,716
1790,724
1791,728
1792,724
1793,708
1794,694
1795,689
1796,683
1797,668
1798,647
1799,634
1800,630
1801,632
1802,632
1803,625
1804,620
1805,632
1806,655
1807,667
1808,670
1809,640
1810,642
1811,659
1812,670
1813,665
1814,663
1815,674
1816,689
1817,698
1818,696
1819,688
1820,684
1821,683
1822,681
1823,674
1824,665
1825,665
1826,676
1827,688
1828,697
1829,695
1830,686
1831,687
1832,693
1833,689
1834,679
1835,672
1836,665
1837,660
1838,655
1839,650
1840,642
1841,630
1842,627
1843,632
1844,634
1845,633
1846,632
1847,640
1848,657
1849,666
1850,667
1851,676
1852,685
1853,686
1854,691
1855,702
1856,707
1857,706
1858,706
1859,700
1860,692
1861,679
1862,674
1863,688
1864,700
1865,693
1866,677
1867,675
1868,686
1869,691
1870,688
1871,685
1872,684
1873,687
1874,697
1875,704
1876,701
1877,691
1878,687
1879,688
1880,680
1881,662
1882,649
1883,643
1884,640
1885,641
1886,647
1887,650
1888,649
1889,653
1890,671
1891,689
1892,695
1893,692
1894,691
1895,694
1896,697
1897,694
1898,685
1899,680
1900,688
1901,704
1902,711
1903,708
1904,703
1905,705
1906,714
1907,716
1908,702
1909,646
1910,652
1911,657
1912,668
1913,682
1914,693
1915,698
1916,695
1917,692
1918,690
1919,682
1920,668
1921,654
1922,647
1923,651
1924,664
1925,674
1926,678
1927,677
1928,683
1929,700
1930,712
1931,706
1932,693
1933,689
1934,699
1935,703
1936,689
1937,666
1938,656
1939,661
1940,664
1941,651
1942,633
1943,632
1944,646
1945,665
1946,675
1947,671
1948,670
1949,683
1950,701
1951,712
1952,715
1953,714
1954,712
1955,718
1956,727
1957,726
1958,714
1959,655
1960,659
1961,663
1962,664
1963,659
1964,659
1965,664
1966,660
1967,649
1968,645
1969,648
1970,654
1971,660
1972,664
1973,665
1974,664
1975,667
1976,675
1977,678
1978,674
1979,671
1980,673
1981,673
1982,666
1983,655
1984,650
1985,655
1986,667
1987,677
1988,679
1989,678
1990,679
1991,682
1992,682
1993,676
1994,658
1995,641
1996,637
1997,640
1998,640
1999,637
2000,632
2001,633
2002,639
2003,652
2004,667
2005,677
2006,682
2007,690
2008,700
2009,689
2010,706
2011,715
2012,711
2013,703
2014,702
2015,703
2016,695
2017,687
2018,688
2019,695
2020,704
2021,707
2022,709
2023,713
2024,716
2025,712
2026,703
2027,694
2028,688
2029,686
2030,686
2031,690
2032,689
2033,680
2034,668
2035,660
2036,659
2037,662
2038,662
2039,655
2040,644
2041,640
2042,645
2043,643
2044,625
2045,609
2046,610
2047,623
2048,636
2049,646
2050,656
2051,672
2052,697
2053,720
2054,731
2055,732
2056,731
2057,733
2058,730
2059,685
2060,695
2061,697
2062,693
2063,694
2064,697
2065,696
2066,691
2067,683
2068,678
2069,679
2070,678
2071,669
2072,659
2073,655
2074,654
2075,650
2076,648
2077,652
2078,660
2079,665
2080,663
2081,663
2082,671
2083,679
2084,679
2085,679
2086,686
2087,690
2088,689
2089,685
2090,678
2091,675
2092,682
2093,684
2094,674
2095,662
2096,655
2097,653
2098,654
2099,651
2100,644
2101,644
2102,664
2103,682
2104,684
2105,679
2106,672
2107,666
2108,659
2109,668
2110,681
2111,695
2112,706
2113,710
2114,708
2115,704
2116,703
2117,699
2118,684
2119,665
2120,660
2121,668
2122,672
2123,666
2124,655
2125,655
2126,669
2127,685
2128,689
2129,677
2130,665
2131,668
2132,678
2133,680
2134,666
2135,650
2136,652
2137,670
2138,684
2139,683
2140,674
2141,674
2142,683
2143,691
2144,696
2145,695
2146,693
2147,703
2148,718
2149,724
2150,718
2151,707
2152,703
2153,707
2154,705
2155,696
2156,689
2157,689
2158,698
2159,687
2160,690
2161,683
2162,670
2163,663
2164,666
2165,667
2166,656
2167,650
2168,659
2169,664
2170,656
2171,654
2172,656
2173,658
2174,666
2175,675
2176,679
2177,681
2178,686
2179,691
2180,687
2181,679
2182,674
2183,678
2184,685
2185,685
2186,682
2187,691
2188,707
2189,715
2190,707
2191,700
2192,705
2193,710
2194,709
2195,701
2196,694
2197,693
2198,696
2199,697
2200,691
2201,681
2202,675
2203,676
2204,676
2205,668
